WorkerIndex,Treatment,WorkTimeInSeconds,Answer.output_buttons_b,Answer.output_feedback_b,Answer.question_order_b,Answer.retention_check,Answer.time_array_out_b,Answer.tutorial_save_b,Answer.verbal_feedback
11,A,280,"{""12"":1,""15"":0,""35"":0,""48"":0,""58"":1,""61"":1,""64"":0,""93"":0,""98"":0,""104"":0}",1,"[58,64,98,15,35,93,48,12,61,104]",The diamond.,"{""12"":6.919,""15"":11.426,""35"":4.588,""48"":3.321,""58"":23.797,""61"":6.194,""64"":18.294,""93"":12.196,""98"":8.49,""104"":4.515,""tutorial_2A"":24.488,""tutorial_3A"":4.227}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",The pictures of the pirates' faces were well illustrated.
12,A,164,"{""5"":1,""16"":0,""21"":0,""30"":1,""33"":1,""35"":0,""76"":0,""85"":0,""92"":0,""104"":0}",2,"[33,92,104,76,85,30,35,21,16,5]",the silver bar,"{""5"":1.867,""16"":1.497,""21"":1.999,""30"":5.251,""33"":7.323,""35"":2.717,""76"":1.568,""85"":5.952,""92"":3.728,""104"":3.867,""tutorial_2A"":11.568,""tutorial_3A"":2.472}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
13,A,192,"{""2"":0,""6"":0,""29"":0,""43"":0,""61"":1,""63"":0,""70"":0,""79"":0,""90"":0,""96"":0}",1,"[96,90,6,79,61,70,2,43,63,29]",My favorite was the diamond and my least favorite was the radio,"{""2"":7.589,""6"":21.165,""29"":5.517,""43"":5.841,""61"":5.952,""63"":10.338,""70"":5.961,""79"":4.317,""90"":9.328,""96"":16.717,""tutorial_2A"":24.718,""tutorial_3A"":3.861}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",this was easy  thanks
14,A,768,"{""2"":1,""20"":0,""29"":0,""36"":0,""49"":1,""51"":0,""54"":1,""55"":0,""70"":0,""96"":1}",1,"[51,20,36,70,96,49,2,29,54,55]",Trophy.,"{""2"":16.464,""20"":12.348,""29"":9.288,""36"":19.732,""49"":13.588,""51"":102.981,""54"":5.238,""55"":6.43,""70"":9.742,""96"":8.508,""tutorial_2A"":85.153,""tutorial_3A"":6.959}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I also liked the diamond.
15,A,557,"{""5"":1,""9"":0,""47"":1,""56"":1,""69"":1,""71"":0,""78"":1,""79"":1,""84"":1,""104"":1}",2,"[78,84,69,79,9,47,71,104,5,56]","Dimond, Necklace, Doll","{""5"":9.696,""9"":9.392,""47"":21.375,""56"":16.249,""69"":12.873,""71"":8.056,""78"":63.444,""79"":14.536,""84"":22.336,""104"":11.048,""tutorial_2A"":74.626,""tutorial_3A"":7.53}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Interesting survey and also I take the decision according that each one have to got the equal share of the treasure.
16,A,228,"{""5"":1,""9"":0,""49"":0,""51"":1,""57"":0,""63"":0,""76"":0,""92"":0,""96"":1,""104"":0}",2,"[5,104,92,51,49,76,63,9,96,57]",goblet,"{""5"":19.925,""9"":18.008,""49"":4.384,""51"":4.168,""57"":4.649,""63"":19.32,""76"":3.824,""92"":6.088,""96"":3.76,""104"":5.2,""tutorial_2A"":44.362,""tutorial_3A"":7.979}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no
17,A,204,"{""12"":1,""20"":0,""22"":1,""23"":1,""49"":0,""51"":1,""57"":1,""62"":0,""91"":1,""103"":1}",2,"[20,57,12,91,51,23,103,22,49,62]","I loved the radio, because music is one of my favorite things in life.","{""12"":2.431,""20"":12.672,""22"":2.642,""23"":3.049,""49"":3.681,""51"":2.558,""57"":3.171,""62"":2.405,""91"":3.023,""103"":2.704,""tutorial_2A"":57.343,""tutorial_3A"":2.072}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",This was a fun survey. I love pirates! Thanks!
18,A,105,"{""7"":0,""8"":0,""9"":0,""20"":0,""21"":0,""47"":1,""51"":0,""64"":0,""90"":0,""103"":1}",2,"[8,20,90,64,51,9,47,21,103,7]",the map,"{""7"":2.56,""8"":11.238,""9"":2.312,""20"":4.471,""21"":2.528,""47"":4.08,""51"":2.783,""64"":2.825,""90"":3.776,""103"":2.4,""tutorial_2A"":24.112,""tutorial_3A"":3.594}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
19,A,263,"{""6"":0,""20"":0,""36"":1,""50"":1,""56"":0,""68"":1,""72"":0,""91"":1,""93"":1,""96"":1}",1,"[93,6,91,50,68,56,72,20,36,96]",treasure box,"{""6"":19.576,""20"":4.09,""36"":2.488,""50"":20.254,""56"":3.634,""68"":4.16,""72"":3.476,""91"":9.925,""93"":38.268,""96"":2.836,""tutorial_2A"":46.211,""tutorial_3A"":4.113}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",thank you
20,A,369,"{""0"":0,""15"":0,""23"":1,""29"":0,""56"":0,""61"":1,""69"":0,""76"":0,""79"":0,""103"":1}",1,"[29,103,79,56,76,15,69,0,23,61]",diamond amulet,"{""0"":5.608,""15"":10.377,""23"":8.496,""29"":26.908,""56"":6.016,""61"":7.728,""69"":4.263,""76"":5.376,""79"":6.112,""103"":5.935,""tutorial_2A"":16.959,""tutorial_3A"":3.333}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","as long as I received more than 25% of the total, I was satisfied (assumed it was fair)"
21,A,180,"{""1"":0,""7"":0,""23"":0,""26"":1,""41"":0,""44"":0,""69"":0,""75"":1,""84"":0,""99"":0}",1,"[23,1,7,41,75,44,99,69,84,26]",Diamond,"{""1"":12.68,""7"":7.936,""23"":20.713,""26"":3.09,""41"":11.484,""44"":5.944,""69"":6.471,""75"":7.186,""84"":3.127,""99"":4.5,""tutorial_2A"":24.109,""tutorial_3A"":8.569}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",No comments
22,A,296,"{""1"":0,""5"":1,""8"":0,""35"":0,""48"":0,""49"":0,""58"":0,""72"":0,""103"":1,""104"":0}",2,"[58,5,35,49,103,48,104,72,1,8]",shirt,"{""1"":3.015,""5"":11.353,""8"":3.545,""35"":3.287,""48"":4.039,""49"":4.384,""58"":18.594,""72"":4.722,""103"":3.352,""104"":4.624,""tutorial_2A"":64.226,""tutorial_3A"":9.626}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Interesting game. I liked the interface and it was easy to find if the share was acceptable or not. It was fun.
23,A,640,"{""0"":0,""16"":0,""44"":1,""47"":1,""55"":0,""71"":0,""75"":1,""77"":0,""97"":0,""99"":1}",1,"[16,0,71,75,99,97,44,55,77,47]",Diamond and Old coins,"{""0"":16.247,""16"":42.991,""44"":11.919,""47"":8.498,""55"":6.24,""71"":15.768,""75"":13.801,""77"":10.728,""97"":6.066,""99"":11.282,""tutorial_2A"":60.328,""tutorial_3A"":9.955}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",This is a nice survey.
24,A,666,"{""20"":0,""35"":0,""42"":0,""43"":0,""47"":1,""72"":0,""75"":1,""83"":0,""86"":0,""92"":1}",1,"[86,42,72,43,47,75,92,20,35,83]",drum containing rum,"{""20"":17.42,""35"":18.975,""42"":4.566,""43"":16.231,""47"":4.378,""72"":4.35,""75"":7.276,""83"":24.81,""86"":38.09,""92"":27.98,""tutorial_2A"":228.452,""tutorial_3A"":3.047}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I answered what was acceptable to me. It doesn't necessarily mean that it was fair for the whole crew! Thank you.
25,A,150,"{""7"":1,""12"":1,""15"":1,""26"":1,""42"":1,""48"":0,""50"":1,""51"":1,""65"":1,""69"":0}",1,"[42,69,65,48,50,15,7,51,26,12]",na,"{""7"":6.684,""12"":5.061,""15"":5.572,""26"":4.896,""42"":14.081,""48"":4.83,""50"":5.098,""51"":4.458,""65"":5.514,""69"":8.388,""tutorial_2A"":20.471,""tutorial_3A"":3.608}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",na
26,A,220,"{""0"":0,""20"":0,""43"":0,""56"":0,""58"":0,""68"":0,""72"":0,""76"":0,""78"":0,""82"":0}",3,"[56,72,43,0,20,58,78,68,76,82]",toy,"{""0"":9.664,""20"":2.721,""43"":3.352,""56"":14.085,""58"":3.303,""68"":2.015,""72"":5.407,""76"":5.506,""78"":2.296,""82"":4.648,""tutorial_2A"":6.648,""tutorial_3A"":3.541}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",nice
27,A,353,"{""0"":0,""2"":0,""6"":0,""7"":0,""16"":0,""19"":1,""55"":0,""75"":0,""85"":0,""92"":0}",2,"[19,92,55,75,6,2,0,7,85,16]",basketball,"{""0"":8.463,""2"":9.029,""6"":5.724,""7"":14.522,""16"":11.076,""19"":55.333,""55"":15.023,""75"":21.181,""85"":9.664,""92"":14.901,""tutorial_2A"":42.461,""tutorial_3A"":8.457}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",none
28,A,400,"{""0"":0,""2"":0,""40"":0,""48"":0,""49"":0,""50"":0,""55"":0,""78"":0,""86"":0,""89"":0}",3,"[78,0,50,55,2,86,48,40,49,89]",: someone or something that is valued highly. treasure. 2 of 2 verb. treasured; treasuring -(?-)ri? : to value highly :,"{""0"":4.792,""2"":3.416,""40"":1.2,""48"":1.224,""49"":1.551,""50"":1.831,""55"":1.841,""78"":3.756,""86"":1.136,""89"":1.697,""tutorial_2A"":2.887,""tutorial_3A"":1.292}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Learning Point--Asking for comments or a reviewI'd be grateful for any comments or suggestions you might have. I'd like to get some feedback on the report before we send it out. Please let me know if you'd like to propose any changes.
29,A,355,"{""5"":1,""21"":0,""27"":0,""37"":0,""48"":0,""54"":1,""63"":0,""64"":0,""92"":0,""100"":0}",2,"[27,64,54,5,21,92,100,63,37,48]",jewelry,"{""5"":6.343,""21"":6.929,""27"":27.481,""37"":11.399,""48"":8.241,""54"":6.008,""63"":15.663,""64"":27.502,""92"":23.326,""100"":8.785,""tutorial_2A"":44.102,""tutorial_3A"":7.647}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no comments
30,A,547,"{""6"":0,""14"":0,""16"":0,""50"":0,""64"":0,""68"":1,""69"":0,""84"":0,""96"":1,""100"":0}",1,"[68,14,6,16,100,96,69,84,64,50]",Blue Diamond,"{""6"":31.225,""14"":31.671,""16"":15.895,""50"":29.648,""64"":15.072,""68"":115.396,""69"":13.296,""84"":15.456,""96"":17.344,""100"":16.152,""tutorial_2A"":55.168,""tutorial_3A"":5.861}","{""2A"":[2],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","if the Share value equal, i accept it otherwise no. Nut if my share value increases i accept it."
31,B,300,"{""38"":1,""45"":1,""57"":0,""63"":0,""64"":0,""81"":0,""93"":0,""102"":0,""121"":1,""133"":0}",1,"[57,93,64,102,81,121,133,63,45,38]","The one that's worth the most, I can't remember which one it was.","{""38"":5.318,""45"":4.171,""57"":19.358,""63"":3.78,""64"":7.619,""81"":5,""93"":8.47,""102"":9.522,""121"":4.387,""133"":7.414,""tutorial_2BC"":26.457,""tutorial_3BC"":2.059}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
32,B,186,"{""36"":0,""46"":0,""49"":0,""58"":1,""80"":0,""120"":1,""126"":0,""129"":0,""130"":0,""135"":0}",2,"[58,130,80,46,129,36,120,49,135,126]","I guess basketball, because its a fun item you can play with.","{""36"":10.889,""46"":9.982,""49"":14.429,""58"":13.025,""80"":7.75,""120"":9.107,""126"":5.19,""129"":13.043,""130"":10.559,""135"":5.963,""tutorial_2BC"":16.936,""tutorial_3BC"":2.738}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Seemed straightforward enough. Cheers.
33,B,458,"{""65"":0,""66"":1,""72"":0,""91"":0,""106"":0,""109"":1,""126"":0,""130"":1,""134"":0,""136"":1}",2,"[134,109,91,66,72,106,65,136,130,126]",Rum,"{""65"":14.401,""66"":25.641,""72"":34.543,""91"":13.568,""106"":10.351,""109"":40.16,""126"":17.08,""130"":14.183,""134"":26.918,""136"":14.008,""tutorial_2BC"":57.248,""tutorial_3BC"":7.227}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","I wanted to be fair when determining if my amount was acceptable. I found that when there was a large disparity, it was unacceptable."
34,B,113,"{""58"":0,""63"":0,""79"":0,""80"":0,""84"":0,""87"":0,""106"":0,""123"":0,""130"":0,""134"":0}",1,"[123,80,134,79,63,87,130,58,106,84]",basketball,"{""58"":2.907,""63"":3.859,""79"":2.741,""80"":3.713,""84"":2.475,""87"":4.87,""106"":2.798,""123"":13.29,""130"":2.545,""134"":5.308,""tutorial_2BC"":17.76,""tutorial_3BC"":3.104}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
35,B,175,"{""38"":1,""39"":0,""43"":0,""51"":0,""85"":0,""91"":0,""105"":0,""122"":0,""128"":0,""130"":0}",1,"[105,85,43,91,128,39,38,130,51,122]",I liked the diamond,"{""38"":4.855,""39"":4.12,""43"":3.591,""51"":5.039,""85"":9.727,""91"":3.84,""105"":21.794,""122"":4.329,""128"":5.52,""130"":3.257,""tutorial_2BC"":40.231,""tutorial_3BC"":3.536}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",No questions I think everything went fine
36,B,413,"{""51"":0,""53"":0,""59"":0,""64"":0,""72"":0,""98"":0,""105"":0,""106"":0,""109"":0,""136"":0}",1,"[105,59,51,72,98,109,106,64,136,53]",I didn't look at item names just values,"{""51"":4.133,""53"":3.831,""59"":5.173,""64"":4.034,""72"":3.834,""98"":3.802,""105"":13.173,""106"":3.88,""109"":3.599,""136"":4.351,""tutorial_2BC"":23.127,""tutorial_3BC"":5.315}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",thanks
37,B,158,"{""56"":0,""57"":1,""58"":0,""64"":0,""67"":0,""77"":0,""88"":0,""101"":1,""114"":1,""136"":0}",2,"[114,67,77,56,58,64,57,101,136,88]",Basketball,"{""56"":4.522,""57"":5.62,""58"":5.677,""64"":4.201,""67"":5.691,""77"":5.05,""88"":4.127,""101"":5.493,""114"":17.378,""136"":5.392,""tutorial_2BC"":20.092,""tutorial_3BC"":3.244}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
38,B,214,"{""37"":0,""46"":1,""50"":0,""79"":0,""113"":0,""116"":0,""122"":0,""126"":0,""129"":0,""133"":0}",2,"[37,122,50,126,133,46,129,79,116,113]",Rum,"{""37"":28.507,""46"":7.602,""50"":10.842,""79"":8.078,""113"":7.162,""116"":8.598,""122"":15.116,""126"":10.715,""129"":4.468,""133"":10.368,""tutorial_2BC"":41.947,""tutorial_3BC"":4.16}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",No comment
39,B,176,"{""36"":0,""42"":0,""44"":0,""60"":0,""63"":0,""92"":0,""101"":0,""128"":0,""130"":0,""136"":0}",1,"[60,101,36,63,44,92,136,128,42,130]",Rum,"{""36"":6.232,""42"":5.672,""44"":6.184,""60"":12.701,""63"":5.119,""92"":6.152,""101"":8.8,""128"":6.16,""130"":6.064,""136"":5.224,""tutorial_2BC"":16.199,""tutorial_3BC"":2.507}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","Fair pay, clear explanation, all around great study experience."
40,B,218,"{""60"":0,""94"":1,""107"":0,""112"":0,""113"":1,""119"":0,""134"":0,""135"":1,""136"":0,""137"":0}",1,"[113,137,112,107,119,94,135,134,136,60]",gem stones,"{""60"":5.973,""94"":7.714,""107"":6.507,""112"":7.166,""113"":30.542,""119"":11.443,""134"":5.295,""135"":6.219,""136"":5.912,""137"":9.604,""tutorial_2BC"":32.434,""tutorial_3BC"":4.665}","{""2A"":[],""2BC"":[3,2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",None
41,B,241,"{""42"":0,""50"":0,""53"":0,""87"":0,""94"":1,""99"":0,""105"":0,""114"":0,""121"":1,""123"":0}",2,"[42,105,121,123,87,114,94,99,50,53]",The diamond because it looked the most expensive.,"{""42"":36.711,""50"":5.608,""53"":3.85,""87"":13.484,""94"":7.053,""99"":7.726,""105"":19.862,""114"":8.313,""121"":12.811,""123"":8.082,""tutorial_2BC"":30.971,""tutorial_3BC"":6.507}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",No comments
42,B,281,"{""36"":0,""58"":0,""71"":0,""79"":0,""80"":0,""84"":0,""88"":0,""94"":1,""126"":0,""137"":0}",1,"[36,84,58,80,79,94,126,71,137,88]",necklace,"{""36"":18.886,""58"":4.005,""71"":4.645,""79"":5.995,""80"":4.187,""84"":4.257,""88"":2.724,""94"":5.234,""126"":3.212,""137"":2.276,""tutorial_2BC"":24.713,""tutorial_3BC"":2.239}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}","none, everything was great!"
43,B,300,"{""49"":0,""63"":0,""72"":0,""81"":0,""85"":0,""87"":1,""116"":0,""128"":1,""129"":1,""134"":0}",3,"[81,72,49,134,87,129,128,63,116,85]",diamond,"{""49"":7.25,""63"":8.866,""72"":18.007,""81"":41.924,""85"":11.136,""87"":12.846,""116"":5.95,""128"":6.919,""129"":6.84,""134"":10.459,""tutorial_2BC"":24.022,""tutorial_3BC"":5.345}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I was aiming for more equal allotment than certain treasure item
44,B,555,"{""38"":1,""50"":0,""56"":0,""70"":0,""78"":1,""93"":1,""102"":0,""116"":0,""122"":0,""135"":0}",3,"[56,50,38,102,93,116,78,70,135,122]",Diamond,"{""38"":23.664,""50"":37.728,""56"":53.707,""70"":39.048,""78"":16.16,""93"":12.52,""102"":6.272,""116"":5.728,""122"":20.216,""135"":9.064,""tutorial_2BC"":80.543,""tutorial_3BC"":6.661}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Interesting survey
45,B,551,"{""56"":0,""57"":1,""58"":1,""84"":0,""87"":1,""108"":1,""121"":1,""123"":0,""127"":1,""130"":0}",3,"[121,58,84,56,130,127,108,57,123,87]",Radio,"{""56"":24.945,""57"":17.44,""58"":34.664,""84"":17.39,""87"":14.201,""108"":11.992,""121"":54.957,""123"":20.063,""127"":22.977,""130"":20.784,""tutorial_2BC"":70.716,""tutorial_3BC"":8.227}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",no issues
46,B,428,"{""39"":1,""44"":0,""46"":1,""65"":0,""70"":0,""71"":0,""92"":0,""101"":0,""112"":0,""129"":0}",2,"[70,112,101,129,39,44,71,92,65,46]",the silver bars,"{""39"":17.344,""44"":17.102,""46"":37.869,""65"":22.832,""70"":36.301,""71"":15.953,""92"":22.448,""101"":31.894,""112"":32.872,""129"":18.727,""tutorial_2BC"":43.824,""tutorial_3BC"":6.29}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",I didn't have any problems.
47,B,612,"{""37"":1,""57"":1,""64"":1,""102"":0,""115"":1,""121"":1,""123"":0,""126"":1,""133"":0,""136"":1}",1,"[102,126,123,57,136,133,37,121,115,64]",Basketball,"{""37"":3.28,""57"":3.883,""64"":3.8,""102"":22.077,""115"":3.36,""121"":4.936,""123"":4.447,""126"":6.033,""133"":4.183,""136"":3.702,""tutorial_2BC"":29.327,""tutorial_3BC"":2.243}","{""2A"":[],""2BC"":[2],""3A"":[],""3BC"":[],""2DE"":[],""3DE"":[],""4DE"":[],""5DE"":[]}",Thanks.
